CustomerID,Name,Gender,Age,Country,City,LoyaltyTier,SignupDate,ProductID,ProductCategory,ProductSubCategory,OrderID,OrderDate,Quantity,UnitPrice,TotalAmount,Discount%,PaymentMethod,Returned
2a9d5611-1923-42df-bec4-0758115a82d8,Tanya Guzman,Other,25,USA,Smithburgh,Gold,2023-12-21,d3f8d9df-370e-4975-b585-ae3d4fa74d56,Clothing,Pants,daddff22-336d-45c9-ac43-0ab6696c6d7d,2024-05-24,2,739.11,1182.58,20.0,Credit Card,No
bdeb9f53-d19f-475e-93fa-5d6c18a19a0b,Thomas Taylor,Male,19,Canada,Jacquelineport,Silver,2022-03-23,bfb3db84-3013-4370-be44-0a63ab85fb1d,Clothing,Dress,16936db7-bc76-4190-bbd7-3c05eb5b9e1c,2023-08-27,5,36.27,172.28,5.0,Bank Transfer,Yes
9b436323-bdaf-421d-bdf2-448689d1c7d9,Daniel Chambers,Female,55,France,East Matthew,Bronze,2023-10-14,56f99355-f183-496f-8774-1f1aeb5f3286,Clothing,Jacket,51ff59c8-abc9-4f15-8195-9245869c575b,2024-04-17,3,285.09,812.51,5.0,Cash,Yes
7951d239-ab51-4c2a-9b80-37c5f659c608,Kevin Lamb,Male,42,Canada,Nelsonmouth,Gold,2023-03-28,0a618d93-7d54-4d3e-b822-b0e7a5f821a3,Furniture,Cabinet,82e6abf6-b153-40d8-b19b-577babcdbc67,2023-05-14,3,809.06,2063.1,15.0,Credit Card,No
630db337-e7f1-4e0d-a82a-49df7abe4eb5,Peter Johnson,Male,53,France,Riggsville,Gold,2023-11-15,0edaa969-5d80-4747-993f-16671105c516,Sports,Outdoor,dfa5d7ca-bb24-40db-a74c-49ceb3f45048,2023-11-15,1,55.37,52.6,5.0,Cash,Yes
1a307b64-e1c5-4708-af71-86c99e29dc69,Samantha Dickson,Male,73,Canada,Lake Brandimouth,Platinum,2023-06-03,2b3e4a46-062f-400b-aab0-79c5a26d8e95,Furniture,Bed,cd448124-b44f-4363-b0a0-d06b779dcf83,2023-06-13,3,171.03,461.78,10.0,PayPal,No
9d8110d8-fc0d-417c-8928-a3249704d4d7,Haley Jimenez,Other,61,Canada,Rosestad,Silver,2023-09-25,caab6069-8999-4433-a1ea-d0e9310bca8a,Sports,Outdoor,b00d0b13-acbc-43b6-9ac5-916b860f49e9,2024-11-05,2,467.64,841.75,10.0,PayPal,No
2b24b35a-7a84-42e4-adf1-5d959de4fe12,Michael Brown,Male,32,USA,West Kevinchester,Gold,2023-03-12,7a552c9d-9341-4b4d-aaa4-22150e9be56a,Beauty,Haircare,6f1de57f-0ee9-4296-8a25-6d3879adc8fb,2024-10-24,1,218.87,175.1,20.0,Cash,Yes
8c845dbf-e9c2-4861-b7b3-39a2e7e51ee3,Gina Castro,Other,49,Brazil,South Shannonshire,Platinum,2023-04-14,67ede39f-0a61-4c1d-960a-84d6cf4a6275,Clothing,Shoes,36bd874d-c7ba-4647-9275-579f6ae969ab,2023-04-16,2,254.16,406.66,20.0,Cash,No
0c1025b0-0a68-4c33-a69d-830a85b822e3,Jenna Jefferson,Other,43,Australia,Lake Kennethtown,Silver,2023-11-26,3b0006d2-e675-422f-9481-9dc76eb40e65,Clothing,Dress,047695ce-439d-4222-a54d-c5e6c532fa45,2024-12-07,4,100.0,400.0,0.0,Credit Card,Yes
8bbdee56-c14d-4c89-9f55-c5868636c6a1,Ariel Harding,Other,28,Brazil,South Alexanderview,Bronze,2022-04-01,8b14bf86-1981-4cbe-ab80-494c4d719de4,Beauty,Fragrance,17c2d161-89d1-45b2-b97d-c71a3194ca67,2022-11-06,5,996.16,3984.64,20.0,Cash,Yes
ce353d77-e26c-409f-964c-ad29e0c5fc89,David Patel,Other,64,Canada,East Diana,Gold,2023-09-29,3549a395-7aad-4c57-8120-5df2e1a3eb07,Furniture,Chair,e656495c-573e-4a17-8d61-6b59350ad3eb,2024-07-22,3,440.42,1123.07,15.0,Credit Card,No
c66d03ae-5303-4b80-bf0f-512fec2aee26,Nicholas Brooks,Other,66,UK,South Charles,Bronze,2023-12-19,6222be28-ee8a-41d3-a933-1fd9f02ca46c,Furniture,Cabinet,98eabb35-45f0-441e-9731-a9492491b46b,2024-11-10,5,206.92,931.14,10.0,PayPal,Yes
00f190b2-fdb6-4dbb-ad46-6b0dcc1f8b47,Samuel Townsend,Other,38,India,Marthaland,Bronze,2023-03-17,bc5f3965-d4b1-4853-a234-334f514c982c,Electronics,Tablet,dfb9aa89-3b27-4758-8592-473e1724919f,2024-02-12,3,247.06,704.12,5.0,Credit Card,Yes
34c3f12b-ea74-4d43-909e-eed2ffc0f94a,Peter Nguyen,Other,49,Canada,Port Jason,Silver,2023-03-12,5764a67f-5047-49e0-898d-4a489df36681,Clothing,Jacket,ecf45480-5e67-4ca6-a0a4-6a484616d1bf,2023-10-06,5,173.48,693.92,20.0,Bank Transfer,Yes
ba9fac8d-f4ba-4272-afeb-71f062cf1318,James Brown,Other,66,Germany,Wilcoxchester,Gold,2023-01-11,2244662b-79d6-4851-8c57-1df66d537844,Beauty,Haircare,1b38cbc0-b5b1-4b42-a014-053645c5443f,2023-05-31,4,900.62,3062.11,15.0,Credit Card,Yes
bdcb018a-4020-46fb-bbc8-d8731c22bf25,Victoria Palmer,Male,22,Australia,Lynchmouth,Bronze,2022-03-03,39a284f8-e5d0-4dff-9d3e-3811d1f0dfde,Sports,Accessories,203c209a-4078-40bd-a104-433e2ea5f72c,2023-02-27,2,592.56,1185.12,0.0,Credit Card,Yes
ad00de3b-a99b-4113-8a27-a7c09d9d0fde,Bonnie Terry,Male,22,USA,East Samanthamouth,Gold,2022-08-12,662bc00c-394f-4dbb-8903-47c3de6f202c,Electronics,Camera,79ae5c08-3d11-4b1f-ab97-23d3a41c6151,2023-05-06,2,285.69,485.67,15.0,PayPal,Yes
bbb5e60b-1ad2-4aea-9950-c3727db3675c,Vincent King,Other,74,South Africa,North Tyler,Platinum,2023-04-02,3ac5fdcc-ff80-4aea-b078-2ecb08ed1e27,Clothing,Jacket,716e63d0-eba5-4029-8be0-fd5e510c7cb7,2023-05-18,4,198.51,794.04,0.0,Bank Transfer,No
b31cef8c-9a0f-429e-aabd-d77c4efdc184,Richard Murphy,Female,44,India,Joshuaburgh,Bronze,2023-06-06,fa3f4282-8558-4d65-babc-a2fe44024230,Electronics,Mobile,30ab8a6b-35df-484b-a33c-aab39e5c137f,2024-01-13,4,730.93,2923.72,0.0,PayPal,Yes
6cf2fec4-75df-451a-bd54-8139037df73d,Michael Benson,Male,52,India,South Destinyville,Silver,2023-02-23,6e8b8c99-382c-438a-b576-e4f81c53a9bc,Beauty,Makeup,39999321-7227-4aeb-923b-f8d4508af019,2024-05-30,3,468.0,1404.0,0.0,Bank Transfer,Yes
4bfd0528-ceca-49e7-b80d-fa783c8a1c83,Christine Benitez,Male,59,Japan,Anthonystad,Bronze,2023-11-13,4faf3156-45b7-4a89-9689-ca80890f7e05,Electronics,Laptop,043855d9-0810-48fd-9e33-c720372a3bed,2024-09-01,2,412.35,701.0,15.0,PayPal,No
fa203dca-73e8-4706-83b7-0ea8b82bf056,Larry Hayes,Male,28,Brazil,Erinton,Bronze,2022-01-22,8516c357-ef8b-4f73-ae2a-ebc8e8417212,Beauty,Haircare,aa0a076a-e62b-4471-bf8f-1b599d69cf2a,2023-03-17,4,292.4,935.68,20.0,Bank Transfer,Yes
2b8ad7c1-df29-4806-89c2-98ced2841588,David Lee,Male,36,Germany,,Bronze,2023-12-20,6c8d05f6-d2b8-4529-a606-186445ba2597,Sports,Accessories,91a20ce7-80ec-425e-830b-aa5019572a89,2024-08-23,1,750.5,750.5,0.0,Credit Card,No
74127a45-2ceb-4300-9620-1baf82492342,Megan Carson,Other,72,Japan,East William,Silver,2022-06-25,acc507b2-f0db-44fe-add2-528f72226467,Electronics,Camera,8b7aec73-5cbb-4e8c-be69-b2f0cb2d06d8,2024-03-11,1,852.83,852.83,0.0,Credit Card,Yes
cb9c64e8-4eaa-47d2-aa3e-a9d7a5a212d0,Nicole Rogers,Female,25,South Africa,New Brianburgh,Silver,2023-09-26,cf77c623-07b9-4982-ac38-5fd5888b382e,Sports,Accessories,4ae4ddd2-0632-40ca-b609-f70a9bcd43ff,2024-09-23,1,623.19,529.71,15.0,Cash,No
5a61de15-c34c-4e4a-a217-2d975e8af549,Teresa Johnson,Male,60,Australia,Carsonmouth,Silver,2023-05-08,81708cc5-2c59-4cb7-9c4b-5b1e54d24f36,Furniture,Bed,674d7b83-b681-4e25-ae1d-269615115a4d,2024-03-15,2,674.97,1214.95,10.0,Bank Transfer,No
823bba09-e00c-4124-a765-bcda04c1a01e,Renee Hale,Male,18,India,Port Jaclynchester,Bronze,2023-09-24,d4287f1f-38c9-4f75-aecd-565bdcf04911,Electronics,Camera,8a1196ec-bbe5-4b87-a779-25e1fb7a84d1,2024-09-13,2,510.83,970.58,5.0,Cash,Yes
00233636-09f0-4cf2-809f-30389bd33521,Jennifer Mcintyre,Male,41,France,Lake Marymouth,Silver,2023-09-17,7efee17c-557b-4e26-ace7-96f38685781b,Beauty,Nails,527d49ec-8c56-45e9-b759-fd60b21a27f1,2023-09-18,3,615.56,1477.34,20.0,Credit Card,No
6a7036eb-2334-4715-94f1-aa0bc5d968b9,Amanda Kelley,Other,24,UK,,Gold,2023-12-19,eacf7b85-aa35-40ea-af22-dfb7b8b21004,Electronics,Mobile,4a4cb0f2-6a98-4d42-b019-1740b6a5f878,2024-07-21,5,163.89,737.5,10.0,PayPal,No
c33f8b59-09ad-4ad6-b714-db50308a0f03,Christina Bonilla,Male,61,France,East Jamie,Platinum,2022-04-22,9186439c-cefd-41c4-871b-1d98e18a24b6,Furniture,Chair,edf290a5-49e7-4c7e-bcd6-e3a46ff55c44,2023-08-26,1,637.94,574.15,10.0,Credit Card,Yes
b69b25e8-bd59-4081-8ec4-85db4254ad63,David Sanchez,Female,67,UK,Haroldhaven,Gold,2022-08-05,f2710365-9807-4790-a6bf-4c3357425bf6,Clothing,Jacket,f8bb2d41-fbb2-4814-85ef-ed06657ac1bd,2023-07-20,5,708.61,2834.44,20.0,Credit Card,Yes
93006c66-ce8d-41c1-a834-2fd1d119b323,Sean Carroll,Male,74,UK,North Emilybury,Bronze,2023-08-11,057f0a1a-b5a0-428d-b5ab-df4df6e767a9,Furniture,Cabinet,f9b25487-0720-4da8-b1c0-4b4c3db62394,2023-11-29,5,156.61,743.9,5.0,Credit Card,No
18fdb4b0-43f6-41e1-b31b-1dd13355c256,Laura Church,Female,75,USA,Ericksonfort,Gold,2022-05-31,b97bb3e9-b236-4041-9f92-63d6f3a97279,Clothing,Pants,950464f8-32fc-479d-8bb9-4dcabc2321f8,2023-08-16,1,360.14,288.11,20.0,Bank Transfer,Yes
1d774306-75b4-4799-b604-cebbe8e9d8f0,Dr. Robert Sherman,Male,73,UK,Christensenton,Silver,2023-04-11,1519cc1c-3d4f-49de-9f64-e0c3a4a2fc28,Beauty,Skincare,c175d0fa-7772-4f8f-a870-0a905b6d5f25,2023-11-06,2,739.2,1330.56,10.0,Bank Transfer,Yes
c4a4e8b1-f4bc-4971-933d-406f76261223,Paul Velez,Female,28,Canada,West Nancybury,Platinum,2022-10-11,3ea729d0-fb70-4737-8f1f-ac3477207689,Electronics,Headphones,2fce56c9-fff2-463e-9a59-c50e71705ad0,2023-12-03,2,207.58,352.89,,Cash,No
6f907e53-c879-4fcf-a3f1-396be47cf8f7,William Hunt,Male,32,USA,New Samuel,Silver,2023-12-17,4efc3e77-377c-4f84-8aca-6df536c64623,Beauty,Haircare,8e3ad4ee-192d-472e-8b95-a0cca030bf84,2024-10-27,3,865.71,2337.42,10.0,Cash,No
06c02a9d-4bf6-46b6-8a7e-5459388c3245,Benjamin Cruz,Other,71,Japan,Jamesland,Gold,2023-12-30,c4fa390f-bfdd-48a5-a2f9-8c9b510bad5e,Electronics,Mobile,53c02a44-a743-46c3-8bfe-13bad63c8661,2024-07-18,3,186.78,504.31,10.0,Credit Card,Yes
f55c93d7-bc60-4b9c-80eb-aa3232693fe8,Brittney Carpenter,Other,45,Australia,Diazchester,Gold,2022-04-24,b136e43c-67e8-4a04-a4c2-187da6af172a,Beauty,Nails,b4875e43-052a-4825-9c50-99728b58a9ce,2023-12-16,5,124.49,497.96,20.0,PayPal,No
3930aebc-0c56-4aed-9914-027ca902a099,Catherine Adams,Male,63,Brazil,Port Sean,Bronze,2022-08-15,acca0f57-16d9-4b10-bec7-de395e72aa3b,Sports,Accessories,b6cf809d-b2dd-4b11-a39c-9444e07dc181,2024-06-24,2,370.58,741.16,0.0,Cash,No
8eb32d79-5cda-4be9-a1ae-b48e0e5e942d,Rhonda Mendoza,Other,72,Canada,Andrewberg,Gold,2022-08-31,737c1abc-918d-4078-bab0-ecb58efce5d0,Sports,Athletic Wear,d4487446-f3c3-4c1a-b365-23eb947ac67e,2023-10-16,4,332.92,1198.51,10.0,PayPal,Yes
059180e4-e660-4e43-b9be-c74444653c57,James Buchanan,Female,60,Brazil,West Evelynton,Silver,2022-04-12,dca5fd69-97ae-43df-8c42-878bf382ac3a,Sports,Accessories,509b8975-7e31-42be-a0a7-a9121990a78a,2023-10-16,3,412.01,1236.03,0.0,Cash,No
d128df3d-b9c8-419f-a816-94d323427a0f,Bobby Castillo,Male,45,South Africa,Taylorshire,Gold,2022-01-03,13e699ec-c535-4651-a80d-2995818c8ca1,Beauty,Fragrance,54dafffe-ee21-43ad-ad60-b127cc6bf1c9,2023-01-18,4,678.87,2172.38,20.0,Bank Transfer,Yes
